teleport_model,1,12.19
teleport_local,1,13.78
teleport_local,2,19.93
teleport_local,3,46.13
model_move,1,47.62
model_move,2,50.27
teleport_model,2,54.37
model_move,3,58.36
model_hide,1,59.74
model_move,4,60.5
model_hand,1,62.56
teleport_model,3,64.83
teleport_local,4,70.16
orb_touch,1,71.12,********
teleport_local,5,75.4
teleport_local,6,78.42
teleport_local,7,81.50999
model_move,5,82.59
teleport_local,8,87.4
model_move,6,93.67
model_hand,2,103.92
model_hand,3,105.99
teleport_model,4,108.04
teleport_local,9,110.73
teleport_local,10,112.97
teleport_local,11,115.21
teleport_local,12,117.43
orb_touch,2,118.43,********
model_move,7,121.78
teleport_model,5,127.08
model_move,8,134.02
teleport_model,6,138.9
teleport_local,13,141.66
teleport_local,14,144.15
orb_touch,3,147.12,********
teleport_local,15,154.26
teleport_local,16,157.76
teleport_local,17,162.88
orb_touch,4,164.28,********
model_move,9,167.09
teleport_model,7,173.56
teleport_local,18,175.56
teleport_local,19,178.43
orb_touch,5,179.17,********
model_move,10,185.54
model_hand,4,194.43
model_hand,5,206.27
model_hand,6,211.24
cp_hand,1,234.83
cp_hand,2,240.83
model_hide,2,241.23
avatar_hand,1,255.52
teleport_local,20,255.95
avatar_hand,2,261.36
teleport_local,21,261.78
avatar_buttons,1,283.65
avatar_hand,3,283.65
teleport_local,22,284.07
model_move,11,285.5
cp_hand,3,295.51
teleport_model,8,298.58
teleport_local,23,302.39
model_move,12,305.75
teleport_model,9,310.74
teleport_local,24,313.7
teleport_local,25,315.34
model_move,13,325.5
model_hand,7,337.71
teleport_model,10,340
model_move,14,345.68
model_move,15,347.17
model_move,16,348.95
teleport_local,26,354.84
orb_touch,6,359.4,********
teleport_local,27,365.16
avatar_hand,4,370.58
teleport_local,28,371
model_move,17,373.55
model_move,18,376.91
model_move,19,378.3
teleport_model,11,382.05
teleport_local,29,386.49
orb_touch,7,387.29,********
model_move,20,392.04
model_hide,3,399.06
model_move,21,400.28
model_hand,8,403.4
cp_hand,4,406.68
teleport_model,12,409.14
teleport_local,30,419.14
model_hide,4,431.92
model_move,22,435.37
teleport_local,31,437.5
model_move,23,438.71
model_hide,5,439.29
teleport_local,32,442.19
orb_touch,8,444.03,********
model_move,24,453.62
cp_hand,5,458.18
teleport_model,13,462.02
model_move,25,465.88
teleport_model,14,474.52
teleport_local,33,478.14
avatar_hand,5,481.54
teleport_local,34,481.96
teleport_local,35,484.36
orb_touch,9,484.38,********
teleport_local,36,490.36
avatar_hand,6,494.76
teleport_local,37,495.17
avatar_buttons,2,502.65
avatar_hand,7,502.65
teleport_local,38,503.07
model_move,26,504.49
cp_hand,6,509.25
teleport_model,15,511.61
teleport_local,39,518.9
orb_touch,10,519.8,********

*****STATS*****

FINISH_TIME,519.8
model_hand,8
model_buttons,0
model_move,26
model_hide,5
cp_hand,6
cp_buttons,0
avatar_hand,7
avatar_buttons,2
teleport_model,15
teleport_local,39
orb_touch,10
