
teleport_local,1,81.06
teleport_local,2,82.67
teleport_local,3,84.39
teleport_local,4,87.47
orb_touch,1,91.93999,********
teleport_local,5,99.18999
teleport_local,6,106.21
teleport_local,7,109.24
teleport_local,8,111.78
teleport_local,9,113.25
teleport_local,10,116.69
teleport_local,11,118.33
teleport_local,12,120.23
orb_touch,2,121.06,********
teleport_local,13,126.37
teleport_local,14,132.4
teleport_local,15,135.08
teleport_local,16,136.45
teleport_local,17,138.92
teleport_local,18,141.82
teleport_local,19,144.79
teleport_local,20,146.11
teleport_local,21,147.48
teleport_local,22,154.64
teleport_local,23,157.93
teleport_local,24,159.38
teleport_local,25,163.93
teleport_local,26,165.68
teleport_local,27,167.59
teleport_local,28,169.23
teleport_local,29,170.76
teleport_local,30,172.13
orb_touch,3,173.86,********
teleport_local,31,180.96
teleport_local,32,183.76
teleport_local,33,195.69
model_move,1,197.76
model_hide,1,206.93
model_move,2,208.07
model_hide,2,210.75
model_move,3,212.8
cp_hand,1,222.05
teleport_local,34,224.78
teleport_local,35,232.2
cp_hand,2,244.2
teleport_local,36,249.42
model_hand,1,254.19
model_hand,2,255.49
teleport_model,1,258.41
model_move,4,261.23
model_hide,3,262.63
model_move,5,263.93
cp_hand,3,269.96
model_hand,3,283.95
model_hand,4,287.71
teleport_model,2,298.04
teleport_local,37,301.09
teleport_local,38,302.75
teleport_local,39,304.98
teleport_local,40,307.8
teleport_local,41,309.28
teleport_local,42,311
teleport_local,43,313.82
orb_touch,4,314.98,********
model_move,6,317.2
teleport_model,3,322.74
teleport_local,44,324.77
teleport_local,45,326.31
teleport_local,46,328.72
orb_touch,5,329.64,********
model_move,7,333.26
teleport_local,47,333.49
orb_touch,6,336.63,********
teleport_local,48,337.13
model_move,8,339.43
teleport_model,4,343.45
teleport_local,49,345.57
teleport_local,50,348.16
teleport_local,51,350.23
teleport_local,52,352.31
teleport_local,53,354.44
teleport_local,54,356.44
orb_touch,7,357.27,********
model_move,9,361.03
model_hide,4,371.84
model_move,10,372.93
teleport_model,5,381.29
teleport_local,55,384.4
teleport_local,56,386.16
teleport_local,57,387.99
orb_touch,8,388.58,********
teleport_local,58,393.89
teleport_local,59,401.49
model_move,11,406.12
model_hide,5,416.56
teleport_local,60,418.4
teleport_local,61,420.1
teleport_local,62,421.63
model_move,12,422.31
teleport_model,6,429.48
teleport_local,63,432.22
avatar_hand,1,440.26
teleport_local,64,440.68
avatar_hand,2,448.24
teleport_local,65,448.66
teleport_local,66,452.8
teleport_local,67,455.87
teleport_local,68,457.82
teleport_local,69,461.82
teleport_local,70,463.34
orb_touch,9,463.83,********
teleport_local,71,474.52
model_move,13,490.36
model_move,14,492.95
model_move,15,498.38
model_move,16,505.5
model_hide,6,506.17
teleport_local,72,509.34
teleport_local,73,511.37
model_move,17,513.1
teleport_model,7,516.4
model_move,18,517.82
model_hide,7,519.16
teleport_local,74,520.41
orb_touch,10,525.02,********

*****STATS*****

FINISH_TIME,525.02
model_hand,4
model_buttons,0
model_move,18
model_hide,7
cp_hand,3
cp_buttons,0
avatar_hand,2
avatar_buttons,0
teleport_model,7
teleport_local,74
orb_touch,10
model_move,19,528.03

*****STATS*****

FINISH_TIME,528.03
model_hand,4
model_buttons,0
model_move,19
model_hide,7
cp_hand,3
cp_buttons,0
avatar_hand,2
avatar_buttons,0
teleport_model,7
teleport_local,74
orb_touch,10
